WKT,Latitude,Longitude,Name,Category,Time,Description,Classification
POINT (126.996389 37.5332204),37.5332204,126.996389,Eid,Korean,12:00 pm - 09:00 pm. closed on Tuesday,,Halal restaurant
POINT (126.9953784 37.5344104),37.5344104,126.9953784,Mr.Kebab (Itaewon Branch),Turkish,24h,,Halal restaurant
POINT (126.9942169 37.5340285),37.5340285,126.9942169,Sultan Kebab,Turkish,24h,,Halal restaurant
POINT (126.9970473 37.5345018),37.5345018,126.9970473,Kervan Turkish Bakery,Turkish,10:00 ~ 22:00,,Halal restaurant
POINT (126.9953581 37.5343271),37.5343271,126.9953581,Kervan,Turkish,24h,,Halal restaurant
POINT (126.524197 33.5165402),33.5165402,126.524197,Asalam‎‎‎,Arabic,12:00pm - 10:00pm. Closed on Wednesdays.,,Halal restaurant
POINT (127.0588494 37.511435),37.511435,127.0588494,Kervan,Turkish,11:00am - 10:00pm. Weekdays Break time 3:00pm - 4:30pm,,Halal restaurant
POINT (127.0053251 37.50362379999999),37.5036238,127.0053251,Kervan,Turkish,11:00am - 09:00pm.,,Halal restaurant
POINT (127.5261875 37.7900625),37.7900625,127.5261875,Asian Family Restaurant Dongmoon,Asian,11:00pm - 05:00pm. Friday,,Halal restaurant
POINT (127.6813286 37.64663349999999),37.6466335,127.6813286,Dongmun Express,Asian,10:00am - 07:00pm.,,Halal restaurant
POINT (126.9243715 37.559237),37.559237,126.9243715,Iftar,Korean,11:30am - 8:30pm. Break time 3:00-4:00pm.,010-2671-7182,Halal restaurant
POINT (126.9954288 37.5337004),37.5337004,126.9954288,Taj Palace,Indian,11:00 am - 09:00 pm.,,Halal restaurant
POINT (126.998127 37.532858),37.532858,126.998127,Cairo BBQ,Arabic,11:00 am - 11:00 pm,,Halal restaurant
POINT (126.9954783 37.533504),37.533504,126.9954783,Lazzat,Uzbek,11:30 am - 09:00 pm. ,,Halal restaurant
POINT (126.9966952 37.5332518),37.5332518,126.9966952,Little India Seoul,Indian,11:00 am - 10:00 pm. Break time 3:00pm - 4:30pm,,Halal restaurant
POINT (126.9976664 37.5329779),37.5329779,126.9976664,Zaffran Restaurant,Arabic,12:00 pm - 10:00 pm,,Halal restaurant
POINT (126.9983199 37.5327457),37.5327457,126.9983199,Pak India Restaurant,Pakistani,11:00 am - 11:00 pm,,Halal restaurant
POINT (126.9957357 37.5331655),37.5331655,126.9957357,Itaewon Kitchen,Malaysian,11:00 am - 12:00 pm. ,,Halal restaurant
POINT (126.9876838 37.53463189999999),37.5346319,126.9876838,Petra Restaurant,Arabic,11:30 am - 10:00 pm,,Halal restaurant
POINT (126.9988408 37.5355974),37.5355974,126.9988408,Arabesque Restaurant,Arabic,11:00 am - 10:00 pm. ,,Halal restaurant
POINT (126.9979056 37.5331973),37.5331973,126.9979056,Salam,Turkish,10:00 am - 05:00 pm. closed on Monday,,Halal restaurant
POINT (126.9965209 37.5332593),37.5332593,126.9965209,Kervan Cafe,Cafe,10:00 am - 10:00 pm. (Fri,,Halal restaurant
POINT (127.0056539 37.5657155),37.5657155,127.0056539,Star Samarkand,Uzbek,10:00am - 11:00 pm.,,Halal restaurant
POINT (126.9860206 37.5590205),37.5590205,126.9860206,Kampungku,Korean,11:30am - 09:30 pm.,,Halal restaurant
POINT (126.9857161 37.5593602),37.5593602,126.9857161,Cafe D'asti,Cafe,10:30am - 09:00 pm.,,Halal restaurant
POINT (126.9959721 37.5331573),37.5331573,126.9959721,Sitisarah,Indonesian,10:00am - 12:00 am,,Halal restaurant
POINT (126.9956596 37.5332482),37.5332482,126.9956596,Usmania,Pakistani,11:00am - 10:00 pm.,,Halal restaurant
POINT (126.9859613 37.5592173),37.5592173,126.9859613,Bakso Bejo Korea Halal Restaurant Myeongdong,Indonesian,10:00am - 10:00 pm.,,Halal restaurant
POINT (127.0655128 37.5116326),37.5116326,127.0655128,Curryin,Indian,10:00 am - 09:30 pm.,,Halal restaurant
POINT (126.6005059 37.689768),37.689768,126.6005059,Halal Indian Restaurant,Indian,10:00am - 00:00am.,,Halal restaurant
POINT (126.6009572 37.6898401),37.6898401,126.6009572,KB Kebab Restaurant & Halal Food,Turkish,11:00am - 10:00pm.,,Halal restaurant
POINT (126.7917301 37.330549),37.330549,126.7917301,New Taj Mahal,Indian,,,Halal restaurant
POINT (126.6499042 37.41857139999999),37.4185713,126.6499042,Aladdin Kebab,Arabic,11:00am - 10:30pm.,,Halal restaurant
POINT (126.7898014 37.3284551),37.3284551,126.7898014,Batavia,Indonesian,10:00am - 11:00pm. closed on Thursdays.,,Halal restaurant
POINT (126.790689 37.3296538),37.3296538,126.790689 ,Rindu Alam,Indonesian,11:00am - 10:00pm. Closed on Tuesdays.,,Halal restaurant
POINT (128.4942648 35.8558073),35.8558073,128.4942648,New Saladin,Indian, 11:00am - 11:00pm,,Halal restaurant
POINT (126.7894615 37.3284771),37.3284771,126.7894615,Pondok bali,Indonesian,,,Halal restaurant
POINT (129.0922265 35.26008929999999),35.2600892,129.0922265,Cappadocia,Turkish,11:30am - 09:30pm. Closed on Tuesdays.,,Halal restaurant
POINT (126.9838224 37.5747073),37.5747073,126.9838224,Hibiscus,Asian,12:00pm - 02:00pm. 06:00pm - 09:00pm,,Halal restaurant
POINT (126.9547909 37.3905561),37.3905561,126.9547909,Kinza Indian Restaurant,Indian,11:30am - 10:00pm. (Monday opens 5:30pm),,Halal restaurant
POINT (126.9953192 37.5344014),37.5344014,126.9953192,Dubai,Arabic,12:00 pm - 11:00 pm. ,,Halal restaurant
POINT (127.0049665 37.5645518),37.5645518,127.0049665,Fortune,Uzbek,10:00am - 00:00 am. ,,Halal restaurant
POINT (126.9965237 37.53304079999999),37.5330407,126.9965237,Yell-O Chicken,Korean,11:00am - 10:00 pm.,,Halal restaurant
POINT (126.7900632 37.3281079),37.3281079,126.7900632,Doda Kebab,Turkish,11:00am - 11:00pm,,Halal restaurant
POINT (126.9982584 37.5326362),37.5326362,126.9982584,Bistro Box,Western,11:00 ~ 19:30,,Halal restaurant
POINT (126.9881582 37.5345242),37.5345242,126.9881582,Petra Palace,Arabic,11:30am - 08:30pm. Closed on Wednesdays.,,Halal restaurant
POINT (126.9955236 37.533877),37.533877,126.9955236,Mandu Studio,Uzbek,11:00am - 11:00pm,,Halal restaurant
POINT (127.0056873 37.5658419),37.5658419,127.0056873,Tashkent Kebab,Turkish,11:00am - 10:00pm,,Halal restaurant
POINT (126.7919883 37.3323952),37.3323952,126.7919883,Real Taste Restaurant,Turkish,,,Halal restaurant
POINT (126.9879372 37.5670911),37.5670911,126.9879372,Saffron Restaurant,Arabic,11:30am - 10:00pm.,,Halal restaurant
POINT (126.9979871 37.5333117),37.5333117,126.9979871,HAJJ,Korean,11:00am - 07:00pm. ,,Halal restaurant
POINT (127.006569 37.5660187),37.5660187,127.006569 ,Kebab Way,Turkish,11:30am - 10:00am.,,Halal restaurant
POINT (127.7371371 37.8663017),37.8663017,127.7371371,Crescent Chicken & Burger,American,11:00am - 10:00pm.,,Halal restaurant
POINT (126.9226062 37.55501019999999),37.5550101,126.9226062,Halal Guys,American,11:00am - 10:00pm.,,Halal restaurant
POINT (126.9848758 37.5631536),37.5631536,126.9848758,Busan Jib,Korean,12:00pm - 10:00pm.,,Halal restaurant
POINT (126.9947564 37.5346791),37.5346791,126.9947564,Halal Guys,American,11:00am - 10:00pm.,,Halal restaurant
POINT (127.0682045 37.5409331),37.5409331,127.0682045,Kebab-inn,Turkish,10:30am - 01:00am.,,Halal restaurant
POINT (126.9961948 37.53199650000001),37.5319965,126.9961948,Pizza Burger Plus (Pb+),American,12:00pm - 11:00pm.,,Halal restaurant
POINT (127.1281923 37.4416463),37.4416463,127.1281923,Bek's Kebab,Turkish,05:00pm - 11:00pm. Weekends 11:00am - 10:00pm. Closed on Fridays.,,Halal restaurant
POINT (127.0362468 37.500011),37.500011,127.0362468,King Kebab,Turkish,10:00am - 11:00pm. ,,Halal restaurant
POINT (127.2562781 37.40867350000001),37.4086735,127.2562781,Kebab Cafe,Turkish,11:30am - 09:30pm. ,,Halal restaurant
POINT (126.993979 37.53386599999999),37.533866,126.993979 ,Troy Kebab,Turkish,12:00pm - 02:00pm. Weekends( - 6:00am),,Halal restaurant
POINT (126.6607129 37.4506816),37.4506816,126.6607129,The Kebab,Turkish,11:00am - 11:00pm. ,,Halal restaurant
POINT (126.9934368 37.5338251),37.5338251,126.9934368,Bakso Rindu Kampung,Indonesian,12:00pm - 11:00pm.,,Halal restaurant
POINT (126.6843601 37.4255879),37.4255879,126.6843601,Kebab House,Turkish,11:00am - 11:00pm. ,,Halal restaurant
POINT (126.6507062 37.4175382),37.4175382,126.6507062,Yahala,Turkish,10:00am - 10:00pm. ,,Halal restaurant
POINT (126.9650935 37.5323648),37.5323648,126.9650935,Seoul Kebab,Indian,11:00am - 03:00pm. Closed on Weekends and Mondays.,,Halal restaurant
POINT (126.9783255 37.5590839),37.5590839,126.9783255,Adnan Kebab,Turkish,10:00am - 09:00pm.,,Halal restaurant
POINT (126.6787267 37.4116518),37.4116518,126.6787267,Seven Ways,Pakistani,11:00am - 10:00pm. ,,Halal restaurant
POINT (126.9220178 37.5512343),37.5512343,126.9220178,King Kebab,Turkish,24H,,Halal restaurant
POINT (127.0244421 37.502471),37.502471,127.0244421,Taksim Kebab,Turkish,,,Halal restaurant
POINT (126.9894631 37.5339598),37.5339598,126.9894631,Hojibobo,Uzbek,11:00am - 11:00pm.,,Halal restaurant
POINT (127.3597999 36.374131),36.374131,127.3597999,Pulbitmaru,Korean,Weekdays 08:20 ~ 18:45 (Last order at 18:30) No break time / Saturday 11:20-18:30 (break time 15:0016:00) / Closed on Sundays and public holidays,,Halal restaurant
POINT (129.0293776 35.09913400000001),35.0991340,129.0293776,Bakso Bejo Korea,Indonesian,11:00am - 09:00pm.,,Halal restaurant
POINT (127.9534089 37.34664839999999),37.3466483,127.9534089,Dostuk,Uzbek,10:00am - 10:00pm.,,Halal restaurant
POINT (128.8829124 35.23414630000001),35.2341463,128.8829124,Urgood Restaurant,Uzbek,11:00am - 10:00pm,,Halal restaurant
POINT (127.9416496 36.98415039999999),36.9841503,127.9416496,Nice Kebab,Turkish,11:00am - 11:00pm,,Halal restaurant
POINT (127.4532176 36.632883),36.632883,127.4532176,Asia,Uzbek,10:00am - 10:00pm.,,Halal restaurant
POINT (127.4490825 36.6344463),36.6344463,127.4490825,Evos,Turkish,10:30am - 11:00pm.,,Halal restaurant
POINT (128.4135557 36.0037287),36.0037287,128.4135557,Nazar Kebab,Turkish,10:30am - 01:00am.,,Halal restaurant
POINT (127.0433783 36.9588411),36.9588411,127.0433783,Nazar Kebab,Turkish,10:30am - 01:00am.,,Halal restaurant
POINT (127.0440937 36.9587367),36.9587367,127.0440937,Red Onion Restaurant,Turkish,11:00am - 09:30pm.,,Halal restaurant
POINT (128.5990682 35.86779300000001),35.8677930,128.5990682,Nazar Kebab,Turkish,10:00am - 04:00am.,,Halal restaurant
POINT (127.1260006 35.8447188),35.8447188,127.1260006,Wow Kebab Chicken,Turkish,10:00am - 10:30pm.,,Halal restaurant
POINT (126.9097683 37.13381119999999),37.1338111,126.9097683,Efes Kebab,Turkish,09:00am - 00:00am.,,Halal restaurant
POINT (128.8810887 35.2353728),35.2353728,128.8810887,Bakso Bejo Gimhae,Indonesian,09:30 am - 10:00 pm. closed on Tuesday,,Halal restaurant
POINT (126.7885555 37.328909),37.328909,126.7885555,Butt Kebab,Turkish, 02:00pm - 11:00pm. Closed on Mondays.,,Halal restaurant
POINT (126.6505644 37.4169201),37.4169201,126.6505644,Alayamani Corner Restaurant,Arabic,10:00am - 10:00pm.,,Halal restaurant
POINT (126.9893074 37.5334983),37.5334983,126.9893074,Cafe Oasis,Cafe,10:00am - 07:00pm. Closed on Sundays.,,Halal restaurant
POINT (129.0306909 35.0995141),35.0995141,129.0306909,Warung Jaya Mbak Tia,Indonesian,12:00pm - 10:00pm,,Halal restaurant
POINT (126.9945731 37.5346741),37.5346741,126.9945731,King Kebab,Turkish,24hr,,Halal restaurant
POINT (126.752598 37.6696167),37.6696167,126.752598 ,Efes Kebab,Turkish,09:00am - 06:00pm. ,,Halal restaurant
POINT (126.9880284 37.5391085),37.5391085,126.9880284,King Kebab,Turkish,24H,,Halal restaurant
POINT (126.9890241 37.5336383),37.5336383,126.9890241,Jipbab Kimseonsaeng,Korean,11:30am - 08:00pm. Closed on Weekends,,Halal restaurant
POINT (127.0444933 37.2730548),37.2730548,127.0444933,Boburiy,Uzbek,10:00 am - 10:00 pm,,Halal restaurant
POINT (127.2717353 37.0065762),37.0065762,127.2717353,Zaytoon Halal Restaurant,Arabic,10:00 am - 10:00 pm,,Halal restaurant
POINT (126.9307504 36.9879121),36.9879121,126.9307504,Behruz Restaurant,Uzbek,10:00 am - 10:00 pm,,Halal restaurant
POINT (127.0561231 37.50607679999999),37.5060767,127.0561231,King Kebab,Turkish,10:00am - 9:00pm. Closed on Sundays.,,Halal restaurant
POINT (126.9932197 37.5342404),37.5342404,126.9932197,Alpedo,Turkish,08:00 am - 11:00 pm.,,Halal restaurant
POINT (126.9858435 37.5589757),37.5589757,126.9858435,The Bus Stop Cafe,Cafe,,,Halal restaurant
POINT (126.6464203 37.4215229),37.4215229,126.6464203,Beirut Restaurant,Arabic,11:00 am - 10:00 pm.,,Halal restaurant
POINT (126.6457259 37.4213304),37.4213304,126.6457259,Dera Restaurant,Indian,11:00 am - 10:30 pm.,,Halal restaurant
POINT (126.6458222 37.4211966),37.4211966,126.6458222,Hadramout Restaurant,Arabic,10:30 am - 10:00 pm.,,Halal restaurant
POINT (126.642685 37.4270207),37.4270207,126.642685 ,Sultan Resturant Incheon,Uzbek,09:00 am - 10:00 pm.,,Halal restaurant
POINT (127.7380389 37.8654848),37.8654848,127.7380389,Musafir Restaurant,Uzbek,10:00 am - 10:00 pm. closed on Wednesday,,Halal restaurant
POINT (128.61514 34.8939716),34.8939716,128.61514,Caravan Restaurant,Turkish,10:00 am - 10:00 pm.,,Halal restaurant
POINT (126.6576822 37.4530322),37.4530322,126.6576822,Uz Kebab,Uzbek,10:00 am - 11:00 pm. closed on Sunday,,Halal restaurant
POINT (128.8828184 35.2338865),35.2338865,128.8828184,Uzbek Kim,Uzbek,08:00 am - 11:00 pm.,,Halal restaurant
POINT (126.9005556 35.1772946),35.1772946,126.9005556,Registan Avenue,Uzbek,,,Halal restaurant
POINT (128.8825881 35.23456590000001),35.2345659,128.8825881,Naan n Curry,Indian,11:00 am - 10:00 pm. closed on Wednesday,,Halal restaurant
POINT (128.8824633 35.23468140000001),35.2346814,128.8824633,Bintang Resto,Indonesian,10:00 am - 09:00 pm. closed on Tuesday,,Halal restaurant
POINT (127.1128075 37.37842010000001),37.3784201,127.1128075,Curry146,Indian,11:30 am - 10:00 pm.,,Halal restaurant
POINT (128.8824314 35.2358172),35.2358172,128.8824314,Warung Mbok Mumun,Indonesian,10:00 am - 09:00 pm. closed on Tuesday,,Halal restaurant
POINT (128.444677 35.7299034),35.7299034,128.444677 ,Sizzle House,Uzbek,11:00 am - 11:00 pm. closed on Tuesday,,Halal restaurant
POINT (128.8824857 35.23481819999999),35.2348181,128.8824857,Taj Mahal,Indian,11:00 am - 11:00 pm.,,Halal restaurant
POINT (127.354331 36.36133350000001),36.3613335,127.354331 ,Student Cafe,Arabic,01:00 pm - 09:45 pm. closed on Monday,,Halal restaurant
POINT (127.3521376 36.36047440000001),36.3604744,127.3521376,Indian Curry No.9,Indian,10:00 am - 10:00 pm. closed on Tuesday,,Halal restaurant
POINT (127.4343931 36.3285334),36.3285334,127.4343931,Fargona,Uzbek,10:00 am - 11:00 pm. ,,Halal restaurant
POINT (127.0570389 37.9160248),37.9160248,127.0570389,Kebab Time,Turkish,11:00 am - 11:00 pm. ,,Halal restaurant
POINT (127.0570004 37.9161848),37.9161848,127.0570004,I am Istanbul,Turkish,,,Halal restaurant
POINT (127.741697 37.87377499999999),37.8737749,127.741697 ,Kebab House,Turkish,11:00 am - 10:00 pm. ,,Halal restaurant
POINT (126.2626655 33.4140322),33.4140322,126.2626655,Warung Nusantara,Indonesian,08:00 am - 09:00 pm. ,,Halal restaurant
POINT (128.507843 35.8495201),35.8495201,128.507843 ,Warung Kita,Indonesian,11:00 am - 10:00 pm. ,,Halal restaurant
POINT (127.0860287 36.9935178),36.9935178,127.0860287,Warung Sumber Rejeki,Indonesian,10:00 am - 08:00 pm. only Weekends.,,Halal restaurant
POINT (127.0568318 37.9172),37.9172,127.0568318,Star Restaurant,Indian,11:30 am - 11:00 pm. ,,Halal restaurant
POINT (127.054975 37.0584256),37.0584256,127.054975 ,Warung Indonesia Solo,Indonesian,only open weekends.,,Halal restaurant
POINT (126.7895407 37.3285648),37.3285648,126.7895407,Rea Indonedia,Indonesian,10:00am - 10:00pm,,Halal restaurant
